Time[s], Channel 7
0, 1
0.533852, 0
0.533854, 1
0.533856, 0
0.533864, 1
0.533866, 0
0.533886, 1
0.533892, 0
0.533918, 1
0.53392, 0
1.308044, 1
1.389378, 0
1.38939, 1
1.389392, 0
1.389412, 1
1.389416, 0
1.491316, 1
1.537492, 0
1.537494, 1
1.537496, 0
1.537502, 1
1.537506, 0
1.537524, 1
1.537532, 0
1.608932, 1
1.644338, 0
1.64434, 1
1.644344, 0
1.64435, 1
1.644352, 0
1.644372, 1
1.644376, 0
1.702948, 1
1.73478, 0
1.734782, 1
1.734786, 0
1.734792, 1
1.734794, 0
1.734814, 1
1.73482, 0
1.734846, 1
1.734848, 0
1.788018, 1
1.816756, 0
1.816758, 1
1.81676, 0
1.816766, 1
1.81677, 0
1.816788, 1
1.816794, 0
1.866146, 1
1.893986, 0
1.893992, 1
1.893994, 0
1.894014, 1
1.89402, 0
1.94345, 1
1.970808, 0
1.97081, 1
1.970812, 0
1.970818, 1
1.970822, 0
1.970842, 1
1.970846, 0
2.02231, 1
2.052796, 0
2.052798, 1
2.0528, 0
2.052806, 1
2.05281, 0
2.052828, 1
2.052834, 0
2.107892, 1
2.138362, 0
2.138364, 1
2.138368, 0
2.138374, 1
2.138376, 0
2.138396, 1
2.1384, 0
2.195608, 1
2.229712, 0
2.229714, 1
2.229716, 0
2.229724, 1
2.229726, 0
2.229738, 1
2.22974, 0
2.229746, 1
2.229752, 0
2.229778, 1
2.22978, 0
2.291946, 1
2.326878, 0
2.32688, 1
2.326882, 0
2.326888, 1
2.326892, 0
2.32691, 1
2.326916, 0
2.391996, 1
2.429716, 0
2.429718, 1
2.42972, 0
2.429726, 1
2.42973, 0
2.429748, 1
2.429754, 0
2.42978, 1
2.429782, 0
2.492974, 1
2.526, 0
2.526002, 1
2.526004, 0
2.52601, 1
2.526014, 0
2.526034, 1
2.526038, 0
2.582788, 1
2.613886, 0
2.613888, 1
2.613892, 0
2.613898, 1
2.6139, 0
2.61392, 1
2.613926, 0
2.613952, 1
2.613954, 0
2.663792, 1
2.690058, 0
2.69006, 1
2.690062, 0
2.69007, 1
2.690072, 0
2.690092, 1
2.690096, 0
2.736316, 1
2.762412, 0
2.762414, 1
2.762416, 0
2.762422, 1
2.762426, 0
2.762444, 1
2.762452, 0
2.762476, 1
2.76248, 0
2.80628, 1
2.829668, 0
2.82967, 1
2.829672, 0
2.82968, 1
2.829682, 0
2.829702, 1
2.829706, 0
2.870492, 1
2.893648, 0
2.89365, 1
2.893654, 0
2.89366, 1
2.893662, 0
2.893682, 1
2.893688, 0
2.893714, 1
2.893716, 0
2.932974, 1
2.953756, 0
2.953758, 1
2.95376, 0
2.953766, 1
2.95377, 0
2.953788, 1
2.953794, 0
2.991348, 1
3.014102, 0
3.014104, 1
3.014106, 0
3.014114, 1
3.014116, 0
3.014136, 1
3.014142, 0
3.014168, 1
3.01417, 0
3.054544, 1
3.077002, 0
3.077004, 1
3.077006, 0
3.077012, 1
3.077016, 0
3.077034, 1
3.07704, 0
3.118804, 1
3.143722, 0
3.143724, 1
3.143726, 0
3.143756, 1
3.143762, 0
3.143788, 1
3.14379, 0
3.188034, 1
3.21291, 0
3.212912, 1
3.212916, 0
3.212944, 1
3.212948, 0
3.212976, 1
3.212978, 0
3.259772, 1
3.28792, 0
3.287922, 1
3.287924, 0
3.28793, 1
3.287934, 0
3.287952, 1
3.287958, 0
3.287984, 1
3.287988, 0
3.337468, 1
3.365372, 0
3.365374, 1
3.365376, 0
3.365382, 1
3.365386, 0
3.365406, 1
3.36541, 0
3.365436, 1
3.365438, 0
3.41707, 1
3.448104, 0
3.448106, 1
3.448108, 0
3.448116, 1
3.448118, 0
3.448138, 1
3.448144, 0
3.44817, 1
3.448172, 0
3.503438, 1
3.534006, 0
3.534008, 1
3.53401, 0
