Time[s], Channel 7
0, 0
2.344944, 1
2.477136, 0
2.477138, 1
2.47714, 0
2.477146, 1
2.47715, 0
2.477168, 1
2.477174, 0
2.690278, 1
2.778502, 0
2.778504, 1
2.778508, 0
2.778514, 1
2.778516, 0
2.778528, 1
2.77853, 0
2.778536, 1
2.778542, 0
2.778568, 1
2.77857, 0
2.917088, 1
2.988944, 0
2.988946, 1
2.988948, 0
2.988954, 1
2.988958, 0
2.988976, 1
2.988982, 0
2.989008, 1
2.98901, 0
3.114884, 1
3.183896, 0
3.183898, 1
3.183902, 0
3.183908, 1
3.18391, 0
3.183922, 1
3.183924, 0
3.18393, 1
3.183936, 0
3.183962, 1
3.183964, 0
3.285782, 1
3.334024, 0
3.334026, 1
3.334028, 0
3.334034, 1
3.334038, 0
3.334056, 1
3.334062, 0
3.334088, 1
3.33409, 0
3.416318, 1
3.46138, 0
3.461382, 1
3.461384, 0
3.461392, 1
3.461394, 0
3.461406, 1
3.461408, 0
3.461412, 1
3.46142, 0
3.461444, 1
3.461448, 0
3.53331, 1
3.570486, 0
3.570492, 1
3.570496, 0
3.570514, 1
3.57052, 0
3.63644, 1
3.673514, 0
3.673516, 1
3.673518, 0
3.673526, 1
3.673528, 0
3.67354, 1
3.673542, 0
3.673548, 1
3.673554, 0
3.67358, 1
3.673582, 0
3.73399, 1
3.765382, 0
3.765384, 1
3.765386, 0
3.765392, 1
3.765396, 0
3.765414, 1
3.76542, 0
3.765446, 1
3.765448, 0
3.821028, 1
3.852648, 0
3.85265, 1
3.852652, 0
3.85266, 1
3.852662, 0
3.85268, 1
3.852688, 0
3.852714, 1
3.852716, 0
3.905104, 1
3.9338, 0
3.933802, 1
3.933804, 0
3.93381, 1
3.933814, 0
3.933832, 1
3.933838, 0
3.986212, 1
4.016982, 0
4.016984, 1
4.016986, 0
4.016992, 1
4.016996, 0
4.017014, 1
4.017022, 0
4.017046, 1
4.01705, 0
4.070432, 1
4.100076, 0
4.100078, 1
4.10008, 0
4.100086, 1
4.10009, 0
4.100108, 1
4.100114, 0
4.10014, 1
4.100142, 0
4.156292, 1
4.190296, 0
4.190298, 1
4.190302, 0
4.190308, 1
4.19031, 0
4.190322, 1
4.190324, 0
4.19033, 1
4.190336, 0
4.190362, 1
4.190364, 0
4.24971, 1
4.282862, 0
4.282864, 1
4.282866, 0
4.282872, 1
4.282876, 0
4.282894, 1
4.2829, 0
4.345582, 1
4.383574, 0
4.383576, 1
4.383578, 0
4.383586, 1
4.383588, 0
4.3836, 1
4.383602, 0
4.383608, 1
4.383614, 0
4.38364, 1
4.383642, 0
4.44946, 1
4.486476, 0
4.486478, 1
4.48648, 0
4.486488, 1
4.48649, 0
4.48651, 1
4.486514, 0
4.55614, 1
4.597462, 0
4.597468, 1
4.597472, 0
4.59749, 1
4.597496, 0
4.670634, 1
4.712214, 0
4.712216, 1
4.712218, 0
4.712224, 1
4.712228, 0
4.712248, 1
4.712252, 0
4.79026, 1
4.83725, 0
4.837252, 1
4.837254, 0
4.83726, 1
4.837264, 0
4.837282, 1
4.83729, 0
4.837314, 1
4.837316, 0
4.916986, 1
4.956852, 0
4.956854, 1
4.956856, 0
4.956862, 1
4.956866, 0
4.956884, 1
4.95689, 0
5.027796, 1
5.068372, 0
5.068374, 1
5.068376, 0
5.068382, 1
5.068386, 0
5.068404, 1
5.068412, 0
5.068436, 1
