Time[s], Channel 7
0, 0
0.104914, 1
0.171366, 0
0.171368, 1
0.17137, 0
0.171376, 1
0.17138, 0
0.1714, 1
0.171404, 0
0.171432, 1
0.171434, 0
0.290698, 1
0.358564, 0
0.358566, 1
0.358568, 0
0.358574, 1
0.358578, 0
0.358596, 1
0.358602, 0
0.474884, 1
0.536212, 0
0.536214, 1
0.536216, 0
0.536222, 1
0.536226, 0
0.536244, 1
0.53625, 0
0.536276, 1
0.536278, 0
0.647834, 1
0.711482, 0
0.711488, 1
0.71149, 0
0.71151, 1
0.711516, 0
0.821354, 1
0.878892, 0
0.878894, 1
0.878896, 0
0.878902, 1
0.878906, 0
0.878928, 1
0.87893, 0
0.878956, 1
0.878958, 0
0.983392, 1
1.043044, 0
1.043046, 1
1.04305, 0
1.043056, 1
1.043058, 0
1.04307, 1
1.043072, 0
1.043078, 1
1.043084, 0
1.146138, 1
1.2, 0
1.200002, 1
1.200004, 0
1.20001, 1
1.200014, 0
1.200032, 1
1.200038, 0
1.200064, 1
1.200066, 0
1.29889, 1
1.355792, 0
1.355794, 1
1.355798, 0
1.355804, 1
1.355806, 0
1.355818, 1
1.35582, 0
1.355826, 1
1.355832, 0
1.355858, 1
1.35586, 0
1.454434, 1
1.506316, 0
1.506318, 1
1.506322, 0
1.506328, 1
1.50633, 0
1.50635, 1
1.506356, 0
1.601494, 1
1.65666, 0
1.656662, 1
1.656664, 0
1.656672, 1
1.656674, 0
1.656686, 1
1.656688, 0
1.656694, 1
1.6567, 0
1.656726, 1
1.656728, 0
1.753462, 1
1.804218, 0
1.80422, 1
1.804224, 0
1.80423, 1
1.804232, 0
1.804244, 1
1.804246, 0
1.804252, 1
1.804256, 0
1.804284, 1
1.804286, 0
1.898056, 1
1.952016, 0
1.952018, 1
1.952022, 0
1.952028, 1
1.95203, 0
1.952042, 1
1.952044, 0
1.95205, 1
1.952056, 0
1.952082, 1
1.952084, 0
2.046556, 1
2.097214, 0
2.097216, 1
2.097218, 0
2.097226, 1
2.097228, 0
2.09724, 1
2.097242, 0
2.097248, 1
2.097252, 0
2.09728, 1
2.097282, 0
2.190204, 1
2.243774, 0
2.243776, 1
2.24378, 0
2.243786, 1
2.243788, 0
2.2438, 1
2.243802, 0
2.243808, 1
2.243814, 0
2.24384, 1
2.243842, 0
2.336212, 1
2.386236, 0
2.386238, 1
2.38624, 0
2.386246, 1
2.38625, 0
2.386268, 1
2.386274, 0
2.477024, 1
2.530108, 0
2.53011, 1
2.530114, 0
2.53012, 1
2.530122, 0
2.530134, 1
2.530136, 0
2.530142, 1
2.530148, 0
2.530174, 1
2.530176, 0
2.621838, 1
2.671, 0
2.671002, 1
2.671006, 0
2.671012, 1
2.671014, 0
2.671026, 1
2.671028, 0
2.671034, 1
2.671038, 0
2.671066, 1
2.671068, 0
2.760376, 1
2.812572, 0
2.812574, 1
2.812576, 0
2.812582, 1
2.812586, 0
2.812604, 1
2.812612, 0
2.812636, 1
2.81264, 0
2.90317, 1
2.951114, 0
2.951116, 1
2.951118, 0
2.951124, 1
2.951128, 0
2.951146, 1
2.951152, 0
2.951178, 1
2.95118, 0
3.03966, 1
3.090786, 0
3.090788, 1
3.09079, 0
3.090796, 1
3.0908, 0
3.090818, 1
3.090826, 0
3.180408, 1
3.227874, 0
3.227876, 1
3.227878, 0
3.227886, 1
3.227888, 0
3.227908, 1
3.227912, 0
3.227938, 1
3.227942, 0
3.315646, 1
3.366528, 0
3.36653, 1
3.366532, 0
3.36654, 1
3.366542, 0
3.366554, 1
3.366556, 0
3.366562, 1
3.366568, 0
3.366594, 1
3.366596, 0
3.455922, 1
3.503528, 0
3.50353, 1
3.503532, 0
3.50354, 1
3.503542, 0
3.50356, 1
3.503566, 0
3.503594, 1
3.503596, 0
3.591466, 1
3.642438, 0
3.64244, 1
3.642442, 0
3.64245, 1
3.642452, 0
3.642472, 1
3.642478, 0
3.642504, 1
3.642506, 0
3.73143, 1
3.778822, 0
3.778824, 1
3.778826, 0
3.778832, 1
3.778836, 0
3.778854, 1
3.77886, 0
3.866038, 1
3.916368, 0
3.91637, 1
3.916372, 0
3.916378, 1
