Time[s], Channel 7
0, 0
2.942112, 1
3.910864, 0
3.910866, 1
3.910868, 0
3.910876, 1
3.910878, 0
3.91089, 1
3.910892, 0
3.910898, 1
3.910904, 0
3.91093, 1
3.910932, 0
4.230984, 1
4.323038, 0
4.32304, 1
4.323042, 0
4.323048, 1
4.323052, 0
4.32307, 1
4.323076, 0
4.422552, 1
4.465078, 0
4.465084, 1
4.465086, 0
4.465106, 1
4.465112, 0
4.465138, 1
4.46514, 0
4.52929, 1
4.560114, 0
4.560116, 1
4.56012, 0
4.560126, 1
4.560128, 0
4.560148, 1
4.560152, 0
4.610162, 1
4.63573, 0
4.635732, 1
4.635734, 0
4.635742, 1
4.635744, 0
4.635756, 1
4.635758, 0
4.635764, 1
4.63577, 0
4.67757, 1
4.698928, 0
4.69893, 1
4.698932, 0
4.698938, 1
4.698942, 0
4.69896, 1
4.698966, 0
4.73566, 1
4.755678, 0
4.75568, 1
4.755682, 0
4.755688, 1
4.755692, 0
4.75571, 1
4.755716, 0
4.755742, 1
4.755746, 0
4.789452, 1
4.807494, 0
4.807496, 1
4.8075, 0
4.807506, 1
4.807508, 0
4.807528, 1
4.807532, 0
4.83877, 1
4.856156, 0
4.856158, 1
4.85616, 0
4.856168, 1
4.85617, 0
4.856188, 1
4.856196, 0
4.856222, 1
4.856224, 0
4.885348, 1
4.901062, 0
4.901064, 1
4.901068, 0
4.901074, 1
4.901076, 0
4.901096, 1
4.901098, 0
4.928092, 1
4.943472, 0
4.943474, 1
4.943476, 0
4.943482, 1
4.943486, 0
4.943504, 1
4.94351, 0
4.969042, 1
4.982942, 0
4.982944, 1
4.982948, 0
4.982954, 1
4.982956, 0
4.982976, 1
4.98298, 0
5.006952, 1
5.020858, 0
5.02086, 1
5.020862, 0
5.02087, 1
5.020872, 0
5.020884, 1
5.020886, 0
5.02089, 1
5.020898, 0
5.020924, 1
5.020926, 0
5.044202, 1
5.056988, 0
5.056994, 1
5.056998, 0
5.057016, 1
5.057018, 0
5.079192, 1
5.09216, 0
5.092162, 1
5.092164, 0
5.09217, 1
5.092174, 0
5.092182, 1
5.092184, 0
5.092192, 1
5.092198, 0
5.092224, 1
5.092226, 0
5.114122, 1
5.126192, 0
5.126194, 1
5.126196, 0
5.126202, 1
5.126206, 0
5.14734, 1
5.159798, 0
5.1598, 1
5.159804, 0
5.15981, 1
5.159812, 0
5.159832, 1
5.159836, 0
5.159864, 1
5.159866, 0
5.180916, 1
5.192444, 0
5.192446, 1
5.192448, 0
5.192454, 1
5.192458, 0
5.192476, 1
5.19248, 0
5.212956, 1
5.225124, 0
5.225126, 1
5.225128, 0
5.225134, 1
5.225138, 0
5.225156, 1
5.225162, 0
5.245738, 1
5.25707, 0
5.257072, 1
5.257076, 0
5.257082, 1
5.257084, 0
5.257104, 1
5.257108, 0
5.277496, 1
5.289954, 0
5.289956, 1
5.28996, 0
5.289966, 1
5.289968, 0
5.289988, 1
5.289992, 0
5.311514, 1
5.323668, 0
5.32367, 1
5.323672, 0
5.32368, 1
5.323682, 0
5.323702, 1
5.323706, 0
5.34608, 1
5.359986, 0
5.359988, 1
5.359992, 0
5.359998, 1
5.36, 0
5.360012, 1
5.360014, 0
5.36002, 1
5.360026, 0
5.38394, 1
5.397602, 0
5.397604, 1
5.397606, 0
5.397612, 1
5.397616, 0
5.397624, 1
5.397626, 0
5.42269, 1
5.438242, 0
5.438244, 1
5.438248, 0
5.438254, 1
5.438256, 0
5.438276, 1
5.438282, 0
5.438308, 1
5.43831, 0
5.46507, 1
5.480344, 0
5.480346, 1
5.48035, 0
5.480356, 1
5.480358, 0
5.480378, 1
5.48038, 0
5.508478, 1
5.525816, 0
5.525822, 1
5.525824, 0
5.525844, 1
5.52585, 0
5.555862, 1
5.572886, 0
5.572888, 1
5.57289, 0
5.572896, 1
5.5729, 0
5.6044, 1
5.623652, 0
5.623654, 1
5.623656, 0
5.623662, 1
5.623666, 0
5.623674, 1
5.623676, 0
5.623686, 1
5.623692, 0
5.65719, 1
5.676146, 0
5.676148, 1
5.67615, 0
5.676156, 1
5.67616, 0
5.676178, 1
5.676182, 0
5.711428, 1
5.732836, 0
5.732838, 1
5.732842, 0
5.732848, 1
5.73285, 0
5.73287, 1
5.732876, 0
5.770356, 1
5.791464, 0
5.791466, 1
5.791468, 0
5.791474, 1
5.791478, 0
5.791498, 1
5.791502, 0
5.83103, 1
5.854864, 0
5.854866, 1
5.854868, 0
5.854874, 1
5.854878, 0
5.854896, 1
5.854902, 0
5.896854, 1
5.92031, 0
5.920312, 1
5.920314, 0
5.92032, 1
5.920324, 0
5.920342, 1
5.920346, 0
5.920374, 1
5.920376, 0
5.964606, 1
5.991152, 0
5.991154, 1
5.991156, 0
5.991162, 1
5.991166, 0
5.991184, 1
5.99119, 0
5.991216, 1
5.99122, 0
6.038114, 1
